# 250409_11:25:39.199226
t	CH1	CH2
0.000000e+00	-6.264882e-02	1.191241e+01
1.000000e-08	-6.171708e-02	1.180922e+01
2.000000e-08	-5.890548e-02	1.176734e+01
3.000000e-08	-5.437773e-02	1.171382e+01
4.000000e-08	-5.180191e-02	1.161969e+01
5.000000e-08	-4.946830e-02	1.154541e+01
6.000000e-08	-4.662720e-02	1.143370e+01
7.000000e-08	-4.550605e-02	1.136550e+01
8.000000e-08	-4.227137e-02	1.126027e+01
9.000000e-08	-4.287100e-02	1.115804e+01
1.000000e-07	-4.093416e-02	1.105035e+01
1.100000e-07	-3.923572e-02	1.096754e+01
1.200000e-07	-3.602467e-02	1.089336e+01
1.300000e-07	-3.405767e-02	1.080911e+01
1.400000e-07	-3.367297e-02	1.066275e+01
1.500000e-07	-3.200882e-02	1.055557e+01
1.600000e-07	-3.048812e-02	1.047135e+01
1.700000e-07	-2.998942e-02	1.037506e+01
1.800000e-07	-2.966139e-02	1.026120e+01
1.900000e-07	-2.908998e-02	1.011436e+01
2.000000e-07	-2.631764e-02	9.989667e+00
2.100000e-07	-2.579023e-02	9.852245e+00
2.200000e-07	-2.471137e-02	9.714013e+00
2.300000e-07	-2.443533e-02	9.597166e+00
2.400000e-07	-2.297204e-02	9.440423e+00
2.500000e-07	-2.283595e-02	9.325463e+00
2.600000e-07	-2.200081e-02	9.189190e+00
2.700000e-07	-2.221559e-02	9.041801e+00
2.800000e-07	-2.105990e-02	8.922005e+00
2.900000e-07	-2.032108e-02	8.706616e+00
3.000000e-07	-2.060884e-02	8.618773e+00
3.100000e-07	-1.982866e-02	8.453357e+00
3.200000e-07	-1.931360e-02	8.325062e+00
3.300000e-07	-1.866091e-02	8.166590e+00
3.400000e-07	-1.798528e-02	8.018296e+00
3.500000e-07	-1.773314e-02	7.851304e+00
3.600000e-07	-1.617426e-02	7.672833e+00
3.700000e-07	-1.666342e-02	7.493458e+00
3.800000e-07	-1.682093e-02	7.266008e+00
3.900000e-07	-1.695957e-02	7.136538e+00
4.000000e-07	-1.610726e-02	6.958692e+00
4.100000e-07	-1.533899e-02	6.799824e+00
4.200000e-07	-1.598341e-02	6.611653e+00
4.300000e-07	-1.532659e-02	6.450301e+00
4.400000e-07	-1.487318e-02	6.272907e+00
4.500000e-07	-1.470027e-02	6.114663e+00
